sesion_sugerida,autores,anio,titulo,revista,nivel,dominio,metodos_ml,interpretacion,doi,url,citas_openalex,resumen_es,por_que_es,confianza
3,Rambachan,2024,Identifying Prediction Mistakes in Observational Data,The Quarterly Journal of Economics,Top5,justicia penal / metodología,elastic net; random forest (promedio de ambos),comparación con humanos/expertos; otro: test de errores sistemáticos de predicción de decisores (identificación parcial) usando predicción fuera de muestra para reducir la dimensión de las características,10.1093/qje/qjae013,https://doi.org/10.1093/qje/qjae013,33,"Caracteriza cuándo pueden identificarse errores sistemáticos de predicción de un decisor (jueces, médicos, gerentes) con datos observacionales, y aplica el marco a las decisiones de libertad previa al juicio de los jueces de Nueva York, contrastándolas con una regla de decisión basada en ML. Para construir la partición de características usa predicción supervisada fuera de muestra (promedio de un elastic net y un random forest) y luego evalúa qué jueces cometen errores detectables respecto a la regla algorítmica.","Conecta la predicción fuera de muestra con la identificación econométrica de errores humanos, más allá de comparar AUCs.",alta
3,"Hoffman, Kahn & Li",2018,Discretion in Hiring,The Quarterly Journal of Economics,Top5,laboral,puntaje algorítmico de un test de contratación (proveedor externo),comparación con humanos/expertos; otro: desempeño (permanencia) de los contratados cuando los gerentes anulan la recomendación del algoritmo,10.1093/qje/qjx042,https://doi.org/10.1093/qje/qjx042,6,"Estudian la introducción de un test de contratación que produce un puntaje algorítmico para ordenar candidatos en 15 empresas de servicios de baja calificación, y comparan la permanencia en el empleo de los contratados según se siga o se anule la recomendación del test. Los gerentes que más contratan contra la recomendación obtienen trabajadores con peor permanencia promedio, lo que se interpreta como sesgo o error de juicio y no como información privada superior.",Ilustra el diseño para contrastar una predicción algorítmica con la discreción humana usando resultados laborales observados.,alta
3,Verme,2025,Predicting Poverty,The World Bank Economic Review,TopField,focalización/pobreza,OLS y logit/probit (econométricos clásicos); random forest y otros métodos de árboles; elastic net; redes neuronales,errores de inclusión/exclusión; accuracy fuera de muestra; otro: escenarios de ingresos faltantes y líneas de pobreza alternativas; error en la tasa de pobreza predicha frente a la verdadera,10.1093/wber/lhae044,https://doi.org/10.1093/wber/lhae044,4,"Toma datos completos de ingresos, los corrompe artificialmente con distintos patrones y proporciones de ingresos faltantes y compara modelos econométricos clásicos (OLS, logit/probit) con modelos de ML (árboles y random forest, elastic net, redes neuronales) para predecir la pobreza y recuperar la tasa de pobreza contrafactual verdadera. Evalúa con la matriz de confusión (errores de inclusión/filtración y exclusión/subcobertura, exactitud, precisión y recall) bajo varias líneas de pobreza y funciones objetivo, y concluye que random forest es más consistente y preciso en la mayoría, pero no en todos, los escenarios.",Es un banco de pruebas controlado para discutir qué métrica de error optimizar al predecir pobreza y cuándo los métodos de ML dominan a los clásicos.,alta
3,"Heller, Jakubowski, Jelveh & Kapustin",2026,Machine Learning Can Predict Shooting Victimization Well Enough to Help Prevent It,The Review of Economics and Statistics,TopField,crimen,gradient boosting machine (Friedman); OLS y modelos simples con pocas variables (comparación),calibración; error por colas/cuantiles; comparación con humanos/reglas existentes; ablación por grupos de variables; otro: precision y recall en el top-k; composición racial de víctimas predichas vs. reales; cálculo costo-beneficio,10.1162/rest_a_01519,https://doi.org/10.1162/rest_a_01519,2,"Con 20 años de registros de arrestos y victimización de la Policía de Chicago para 643.975 personas, entrenan una gradient boosting machine para predecir quién será víctima de disparos en los 18 meses siguientes, entrenando y probando en períodos distintos. Evitan la exactitud y el AUC por la rareza del evento y reportan precision y recall en la cola superior (entre las 500 personas de mayor riesgo predicho, 17% son baleadas, 106 veces la tasa promedio), gráficos de calibración globales y por raza/etnia, comparación con modelos más simples (OLS y modelos con pocas variables), desempeño por conjuntos de rasgos (sin arrestos propios, solo red de coarrestados, solo demografía) y un cálculo costo-beneficio que justifica gastar hasta 190.900 dólares por persona en una intervención que reduzca el riesgo a la mitad.","Ejemplo de referencia sobre cómo evaluar predicciones en la cola del riesgo, verificar la calibración por grupos y discutir los sesgos de los datos policiales.",alta
3,Mullainathan & Obermeyer,2022,Diagnosing Physician Error: A Machine Learning Approach to Low-Value Health Care,The Quarterly Journal of Economics,Top5,salud,gradient boosting; LASSO; ensamble,calibración; predicho vs observado; error por colas/cuantiles; comparación con humanos/expertos; ablación por grupos de variables; otro: modelo simple (49 variables) que explica la decisión médica vs modelo complejo (224 variables) que predice el riesgo,10.1093/qje/qjab046,https://doi.org/10.1093/qje/qjab046,2,"Predicen el resultado de la prueba de infarto (bloqueo coronario) entre pacientes testeados en urgencias de un gran hospital (246 mil visitas, 2010–2015) con un ensamble de gradient boosted trees y LASSO sobre 16.405 características; entrenan en el 75% de los pacientes y muestran todos los resultados en el 25% de retención, replicando luego en 4,4 millones de visitas de Medicare. Ordenan a los pacientes en deciles de riesgo predicho y comparan con el rendimiento realizado de la prueba: hay sobre-testeo en bajo riesgo (62% de las pruebas de menor valor no son costo-efectivas) y sub-testeo en alto riesgo (15,6% de eventos adversos a 30 días en el decil superior no testeado). Además comparan el modelo que mejor predice el riesgo con el que mejor predice la decisión del médico y muestran que los médicos sobreponderan síntomas representativos como el dolor de pecho.","Enseña a usar deciles de riesgo predicho, calibración y muestras de retención para diagnosticar errores sistemáticos de expertos.",alta
3,"Angelova, Dobbie & Yang",2026,Algorithmic Recommendations and Human Discretion,The Review of Economic Studies,Top5,justicia penal,"algoritmo de evaluación de riesgo previo al juicio (recomendación); gradient boosting (árboles), replicando a Kleinberg et al. 2018",comparación con humanos/expertos; otro: precisión y equidad de las anulaciones (overrides) de cada juez con resultados observados selectivamente; otro: poder predictivo fuera de muestra de la medida de desempeño de cada juez (primera vs segunda mitad de sus casos),10.1093/restud/rdaf084,https://doi.org/10.1093/restud/rdaf084,1,"Estudian las decisiones de fianza en que los jueces anulan la recomendación de un algoritmo de riesgo previo al juicio, y desarrollan herramientas cuasi-experimentales (asignación de jueces) para medir si la discreción humana mejora o empeora la precisión cuando el resultado solo se observa para los liberados. Encuentran que el 90% de los jueces empeora respecto al algoritmo al anularlo y el 10% lo supera en precisión y equidad; validan el poder predictivo fuera de muestra de su medida de desempeño (primera vs segunda mitad de los casos de cada juez) y comparan además con un gradient boosted tree construido como en Kleinberg et al. (2018) con validación cruzada de 5 pliegues. Publicado en línea en 2025 (vol. 93, 2026).","Muestra cómo evaluar la interacción humano-algoritmo caso por caso y no solo el promedio, con atención al problema de etiquetas selectivas.",alta
3,"Björkegren, Blumenstock & Knight",2026,Manipulation-Robust Prediction,American Economic Review,Top5,desarrollo / scoring,reglas de decisión lineales robustas a manipulación; LASSO (benchmark),accuracy fuera de muestra; otro: validación en un experimento de campo en Kenia con incentivos a manipular las variables de entrada,10.1257/aer.20241087,https://doi.org/10.1257/aer.20241087,,"Propone un método empírico para ajustar algoritmos de decisión anticipando que los individuos alteran estratégicamente su comportamiento cuando conocen la regla; al modelar explícitamente los incentivos a manipular obtiene reglas estables incluso cuando son totalmente transparentes. Las reglas se ponen a prueba en un experimento de campo a gran escala en Kenia (basado en comportamiento de uso de teléfono móvil, según la versión de trabajo del artículo): las reglas lineales robustas superan a modelos lineales estándar como LASSO cuando los participantes tienen incentivos a manipular.","Advierte que la exactitud fuera de muestra puede colapsar cuando la gente responde al algoritmo, y muestra cómo evaluarlo experimentalmente.",alta
4,Francis X. Diebold; Roberto S. Mariano,1995,Comparing Predictive Accuracy,Journal of Business & Economic Statistics,Methods,evaluación/validación,,comparación de pronósticos; prueba Diebold-Mariano,10.1080/07350015.1995.10524599,https://doi.org/10.1080/07350015.1995.10524599,5016,"Propone una prueba estadística para comparar la precisión de dos pronósticos con cualquier función de pérdida, robusta a errores no gaussianos, sesgados y autocorrelacionados. En economía aplicada es el estándar para responder si un modelo de ML pronostica significativamente mejor que un ARIMA o una regresión, en lugar de comparar solo el RMSE puntual.",Referencia para la sesión de evaluación de pronósticos: inferencia sobre diferencias de error fuera de muestra.,alta
4,David R. Roberts; Volker Bahn; Simone Ciuti; Mark S. Boyce; Jose Elith; Gurutzeta Guillera-Arroita; Severin Hauenstein; José J. Lahoz-Monfort; Boris Schröder; Wilfried Thuiller; David I. Warton; Brendan A. Wintle; Florian Hartig; Carsten F. Dormann,2017,"Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",Ecography,Methods,evaluación/validación,agnóstico al modelo,validación cruzada espacial/temporal; block cross-validation,10.1111/ecog.02881,https://doi.org/10.1111/ecog.02881,3000,"Muestra que la validación cruzada aleatoria sobreestima el desempeño cuando los datos tienen dependencia espacial, temporal o jerárquica, y propone la validación por bloques (espaciales, temporales o por grupo) para estimar el error de predicción en unidades no vistas. Bergmeir & Benítez (2012, Information Sciences, 'On the use of cross-validation for time series predictor evaluation') hacen el análisis análogo para series de tiempo (validación por bloques y con origen móvil). Es la referencia para diseñar la validación con datos georreferenciados y de panel, típicos de la economía aplicada.","Lectura base para la sesión de validación: cómo partir los datos cuando hay estructura espacial, temporal o de grupos.",alta
4,"Chi, Fang, Chatterjee & Blumenstock",2022,Microestimates of wealth for all low- and middle-income countries,Proceedings of the National Academy of Sciences,GeneralScience,pobreza/satélites,"gradient-boosted regression trees sobre 112 rasgos (satélites, redes móviles, topografía, conectividad de Facebook)","R2 fuera de muestra; variable importance; predicho vs observado; otro: validación cruzada k-fold, espacial y dejando un país fuera; intervalos de confianza y modelo del error de predicción; simulaciones de focalización del 25% y 50% más pobre",10.1073/pnas.2113658119,https://doi.org/10.1073/pnas.2113658119,252,"Construyen microestimaciones de riqueza relativa para 135 países a 2,4 km con un árbol de regresión con gradient boosting entrenado con encuestas DHS de 56 países. Evalúan el R² fuera de muestra con tres esquemas de validación cruzada (k-fold, dejar-un-país-fuera y validación espacial) y validan contra cuatro fuentes independientes: explican 76% de la variación de riqueza por celda en Togo y 50% en Nigeria, y obtienen R²=0,72 frente a datos censales de 979 unidades admin-2. Reportan dos indicadores de importancia de variables, intervalos de confianza por celda, un modelo del error de predicción (mayor lejos de la cobertura DHS) y simulaciones de focalización del 25% y 50% más pobre.","Muestra la diferencia entre validación cruzada aleatoria, espacial y por país, y cómo cuantificar la incertidumbre y el error de un mapa de pobreza.",alta
4,"Goulet Coulombe, Leroux, Stevanovic & Surprenant",2022,How Is Machine Learning Useful for Macroeconomic Forecasting?,Journal of Applied Econometrics,TopField,macro (varias variables),random forest; boosted trees; kernel ridge regression; SVR; redes neuronales; LASSO/ridge/elastic net; modelos de factores (ARDI),"otro: diseño de 'tratamientos' que atribuye las ganancias del ML a no linealidad, regularización, validación cruzada y función de pérdida; error por horizonte/régimen; comparación de familias de modelos; otro: pruebas Diebold-Mariano y model confidence sets",10.1002/jae.2910,https://doi.org/10.1002/jae.2910,236,"Pronostica cinco variables macro de EE.UU. a cinco horizontes con FRED-MD en un ejercicio pseudo fuera de muestra, comparando RMSE contra AR y ARDI con pruebas Diebold-Mariano y model confidence sets. En lugar de preguntar qué algoritmo gana, aísla cuatro rasgos del ML (no linealidad, regularización, validación cruzada y función de pérdida) como 'tratamientos' y regresa las diferencias de error de pronóstico sobre ellos. Concluye que la no linealidad es el factor decisivo y que sus ganancias se concentran en períodos de alta incertidumbre macro, estrés financiero y colapsos inmobiliarios, lo que muestra interactuando los errores con índices de incertidumbre y condiciones financieras.","Enseña a atribuir las ganancias predictivas del ML a sus componentes y a regímenes económicos, no solo a comparar algoritmos.",alta
4,"Beutel, List & von Schweinitz",2019,Does machine learning help us predict banking crises?,Journal of Financial Stability,TopField,crisis bancarias,logit; k-NN; árboles de decisión; random forest; SVM; redes neuronales,"AUC/ROC; otro: usefulness relativa, F-measure y Brier score; otro: contraste entre ajuste en muestra y evaluación recursiva fuera de muestra (2005Q3–2016Q4); ablación por grupos de variables; comparación de familias de modelos; otro: robustez a definiciones de crisis, parámetro de preferencia y longitud de muestra",10.1016/j.jfs.2019.100693,https://doi.org/10.1016/j.jfs.2019.100693,140,"Compara el logit con cinco métodos de ML para predecir crisis bancarias sistémicas en economías avanzadas durante 45 años, usando cuatro conjuntos de variables. La validación cruzada se reserva para hiperparámetros y la evaluación es una predicción recursiva trimestre a trimestre, con usefulness relativa, AUC, F-measure y Brier: los métodos de ML alcanzan ajustes casi perfectos en muestra pero el logit los supera fuera de muestra, resultado robusto a métricas, definiciones de crisis y transformaciones de datos. Identifica como predictores clave la expansión del crédito, los booms de precios de activos y los desequilibrios externos.",Advertencia empírica: el sobreajuste del ML en muestra no se traduce en desempeño recursivo fuera de muestra.,alta
4,"Richardson, van Florenstein Mulder & Vehbi",2021,Nowcasting GDP using machine-learning algorithms: A real-time assessment,International Journal of Forecasting,TopField,nowcasting PIB,LASSO; ridge; elastic net; SVR; boosted trees; random forest; redes neuronales,comparación de familias de modelos; error por horizonte/régimen; otro: comparación con un modelo de factores dinámico y con los pronósticos oficiales del banco central (RBNZ),10.1016/j.ijforecast.2020.10.005,https://doi.org/10.1016/j.ijforecast.2020.10.005,123,"Hace nowcasting del crecimiento trimestral del PIB de Nueva Zelanda en un entorno completamente en tiempo real: usa vintages históricos del PIB y de unos 600 predictores tal como estaban disponibles en cada fecha. Compara el RMSE de varios algoritmos (regresiones penalizadas, SVR, árboles potenciados, random forest y redes neuronales) frente a un AR, un modelo de factores dinámico y los pronósticos oficiales del RBNZ, según el momento del trimestre en que se produce el nowcast; los algoritmos de ML mejoran significativamente los benchmarks y en un caso superan al pronóstico oficial.",Ejercicio de nowcasting en tiempo real que enfrenta familias de ML con el modelo de factores y el juicio del banco central.,media
4,"Barbaglia, Consoli & Manzan",2023,Forecasting with Economic News,Journal of Business & Economic Statistics,TopField,macro con texto/noticias,NLP: sentimiento basado en aspectos con dependency parsing y diccionario propio; post-double LASSO; regresión cuantílica penalizada (LASSO),"error por colas/cuantiles; error por horizonte/régimen; ablación por grupos de variables; otro: significancia de los indicadores de sentimiento por tema (economía, desempleo, inflación, política monetaria, sector financiero, manufactura) y horizonte",10.1080/07350015.2022.2060988,https://doi.org/10.1080/07350015.2022.2060988,102,"Construye indicadores diarios de sentimiento económico a partir de 6,6 millones de artículos de seis diarios de EE.UU., extrayendo solo el texto sintácticamente ligado a un término de interés y puntuándolo con un diccionario fino. Los usa para pronosticar cuatro variables macro clave de EE.UU. desde el backcast hasta un año, controlando por factores macro, con selección post-double LASSO y evaluación fuera de muestra. Interpreta qué temas de sentimiento importan en cada horizonte, documenta su comportamiento en recesiones y extiende el modelo a regresiones cuantílicas para mostrar que el sentimiento predice sobre todo las colas de la distribución.","Combina ML de texto con evaluación en colas (cuantiles), útil para mostrar dónde ayudan las variables blandas.",alta
4,"Kalamara, Turrell, Redl, Kapetanios & Kapadia",2022,Making text count: Economic forecasting using newspaper text,Journal of Applied Econometrics,TopField,macro con texto/noticias,LASSO; ridge; elastic net; SVR; random forest; redes neuronales; diccionarios y conteos de términos (feature engineering),error por horizonte/régimen; comparación de familias de modelos; ablación por grupos de variables; otro: sentimiento textual versus incertidumbre textual como fuentes de señal,10.1002/jae.2907,https://doi.org/10.1002/jae.2907,100,"Pronostica PIB, inflación y desempleo del Reino Unido usando el texto de tres periódicos, comparando métodos para convertir texto en series (diccionarios, conteos, tf-idf, booleanos) y algoritmos supervisados lineales y no lineales estimados con ventanas móviles de 36 meses. Evalúa el RMSE fuera de muestra frente a benchmarks con datos macro y muestra que la combinación de conteos de términos con ML supervisado (especialmente redes neuronales) da las mayores mejoras. Las ganancias se concentran en períodos de estrés (crisis de 2008, Brexit), y separa el aporte del sentimiento frente al de la incertidumbre textual.",Muestra que las ganancias del ML con texto se concentran en períodos de estrés y compara familias de modelos y de features.,alta
4,"Ellingsen, Larsen & Thorsrud",2022,News media versus FRED-MD for macroeconomic forecasting,Journal of Applied Econometrics,TopField,nowcasting PIB/consumo con noticias,LDA (topic model); LASSO; random forest; PCA; MIDAS,ablación por grupos de variables; error por horizonte/régimen; comparación de familias de modelos,10.1002/jae.2859,https://doi.org/10.1002/jae.2859,57,"Compara en tiempo real el contenido informativo de 22,5 millones de noticias del Dow Jones Newswires (resumidas en tópicos LDA) frente al panel FRED-MD (vintages de ALFRED) para pronosticar el crecimiento del PIB, el consumo y la inversión de EE.UU. Usa MIDAS para el desfase de frecuencias y LASSO, PCA y random forest como predictores, evaluando el RMSE fuera de muestra en cada mes del trimestre. Encuentra que las noticias contienen información no capturada por los datos duros, sobre todo para el consumo, y que el random forest domina a LASSO y PCA.","Comparación en tiempo real de datos blandos (noticias) versus duros con ML, útil para discutir valor informativo por horizonte.",alta
4,"Fouliard, Howell, Rey & Stavrakeva",2020,Answering the Queen: Machine Learning and Financial Crises,NBER Working Paper No. 28302 (revisado en octubre de 2023; también CEPR DP 15618 y BIS WP 926),WorkingPaper,crisis financieras,online learning / agregación secuencial de expertos (promedios exponencialmente ponderados y reglas afines); logits de panel y elastic-net por temas; Bayesian model averaging; GAM; random forest; SVM,combinación de pronósticos; AUC/ROC; otro: pesos de los expertos a lo largo del tiempo y por país; otro: identificación de qué modelos 'encienden la alarma' antes de 2008; predicho vs observado,10.3386/w28302,https://www.nber.org/papers/w28302,46,"Predice períodos previos a crisis financieras sistémicas doce trimestres antes, fuera de muestra, para Francia, Alemania, Italia, España, Suecia, Reino Unido y EE.UU. (1985q1–2019q3), agregando secuencialmente las predicciones de muchos 'expertos' (logits de panel, logits elastic-net por bloques temáticos como crédito, vivienda o sector externo, BMA, GAM, random forest, SVM) con reglas de online learning cuyo desempeño converge al de la mejor combinación ex post. Evalúa con RMSE, AUROC y pérdidas acumuladas frente a cada experto y a la media uniforme, con pruebas placebo. La interpretación proviene de los pesos variables en el tiempo que reciben los expertos en cada país, que revelan qué mecanismos (crédito, vivienda, valoración) señalaban la crisis de 2008.",Enseña la combinación de pronósticos con pesos interpretables como vía para explicar predicciones de crisis.,alta
4,"Juergen Deppner, Marcelo Cajias",2024,Accounting for Spatial Autocorrelation in Algorithm-Driven Hedonic Models: A Spatial Cross-Validation Approach,The Journal of Real Estate Finance and Economics,TopField,vivienda/alquileres,árboles de regresión; random forest; gradient tree boosting; XGBoost; OLS y modelo espacial de Durbin (benchmarks),"validación cruzada espacial; comparación ML vs hedónico/OLS; otro: I de Moran (y z-scores) de los residuos dentro y fuera de muestra para diagnosticar sobreajuste espacial; otro: comparación de estrategias de remuestreo (holdout, resustitución, k-fold aleatorio vs espacial) en R², MAE, MAPE, MPE, RMSE, PE10, IQR y COD",10.1007/s11146-022-09915-y,https://doi.org/10.1007/s11146-022-09915-y,33,"Con 9,256 anuncios de alquiler de apartamentos en Fráncfort (enero 2019–marzo 2020) entrenan árboles de regresión, random forest, gradient boosting y XGBoost, y los comparan con OLS y un modelo espacial de Durbin. El desempeño se evalúa bajo distintas estrategias de remuestreo (holdout, resustitución, validación cruzada aleatoria y validación cruzada espacial por bloques, incluida la separación entre ajuste de hiperparámetros y evaluación) usando R², MAE, MAPE, MPE, RMSE, PE10, IQR y COD, mostrando que la validación no espacial produce estimaciones demasiado optimistas de la capacidad predictiva. Interpretan el sobreajuste con el I de Moran de los residuos dentro y fuera de muestra, vinculándolo a la explotación de la dependencia espacial por los árboles.",Es la referencia más directa sobre validación cruzada espacial en hedónicos con ML: explica por qué el k-fold aleatorio es demasiado optimista con datos inmobiliarios.,alta
4,"Bianchi, Ludvigson & Ma",2022,Belief Distortions and Macroeconomic Fluctuations,American Economic Review,Top5,expectativas,LASSO; elastic net; elastic net dinámico (LASSO + ridge) sobre factores y cientos de series en tiempo real; factores dinámicos; random forest (comparación); random forest y regresión bayesiana como comparación; ridge,R2 fuera de muestra; comparación con humanos/expertos; error por horizonte/régimen; otro: distorsión de creencias = pronóstico de encuesta menos pronóstico de la máquina; otro: etiquetado económico de los factores por R2 marginal; otro: grado de dispersión (sparsity) y shrinkage estimados a lo largo del tiempo; otro: pronósticos genuinamente fuera de muestra con ventanas móviles en tiempo real; MSE de la máquina vs todos los percentiles de las encuestas; predicho vs observado,10.1257/aer.20201713,https://doi.org/10.1257/aer.20201713,1,"Construyen un algoritmo dinámico de ML (elastic net estimado en ventanas móviles sobre factores extraídos de un gran conjunto de datos macro y financieros disponibles en tiempo real) que produce pronósticos genuinamente fuera de muestra de inflación, crecimiento del PIB y otras variables desde 1994, y definen las distorsiones de creencias como la diferencia entre los pronósticos de encuestas (SPF, Michigan, Blue Chip) y el pronóstico de la máquina. Evalúan el error cuadrático fuera de muestra de la máquina frente a todos los percentiles de la distribución de pronosticadores (la máquina gana) y reportan R2 en tiempo real; en muestras de retención comparan elastic net con LASSO, ridge, random forest y regresión bayesiana, siendo elastic net el mejor.",Usa pronósticos de ML fuera de muestra como benchmark de información eficiente para medir sesgos en expectativas.,alta
5,"Blumenstock, Cadamuro & On",2015,Predicting poverty and wealth from mobile phone metadata,Science,GeneralScience,pobreza/big data,elastic net (regresión regularizada) seleccionada por validación cruzada sobre miles de rasgos de uso del teléfono,R2 fuera de muestra; predicho vs observado; otro: validación externa agregando las predicciones por distrito frente a la encuesta DHS,10.1126/science.aac4420,https://doi.org/10.1126/science.aac4420,713,"Usan los registros de llamadas de 1,5 millones de suscriptores en Ruanda y una encuesta telefónica propia para predecir un índice de riqueza individual con regresión regularizada (elastic net) seleccionada por validación cruzada sobre miles de rasgos de uso del teléfono. La precisión se evalúa fuera de muestra con validación cruzada y, sobre todo, contrastando las predicciones agregadas por distrito con el índice de activos de la encuesta DHS (gráficos de predicho vs. observado con correlación muy alta) y reconstruyendo la distribución de riqueza de microrregiones de pocos hogares.",Es el artículo fundacional de la predicción de pobreza con datos de telefonía móvil y del uso de una fuente externa (DHS) para validar predicho vs. observado.,media
5,"Freyberger, Neuhierl & Weber",2020,Dissecting Characteristics Nonparametrically,Review of Financial Studies,TopFinance,asset pricing,adaptive group LASSO; modelo aditivo no paramétrico (splines),otro: selección de variables (qué características sobreviven); partial dependence; otro: Sharpe fuera de muestra; comparación de familias de modelos; otro: estabilidad temporal de la selección,10.1093/rfs/hhz123,https://doi.org/10.1093/rfs/hhz123,637,"Modela el retorno esperado de acciones de EE. UU. como suma de funciones no lineales de 62 características de firma y usa el adaptive group LASSO para seleccionar cuáles aportan información incremental. Evalúa fuera de muestra con ratios de Sharpe de portafolios basados en la predicción (50 % mayores que con regresiones lineales de panel). Interpreta mostrando qué características son seleccionadas (muchas anomalías conocidas no lo son), la forma no lineal de cada efecto mediante gráficos de funciones marginales, y cómo cambia la selección a lo largo del tiempo.",Es un puente entre la econometría y el ML: selección de variables con penalización más interpretación gráfica de efectos no lineales.,alta
5,"Kelly, Malamud & Zhou",2024,The Virtue of Complexity in Return Prediction,Journal of Finance,TopFinance,asset pricing (predicción del mercado),random features / ridge regression de alta dimensión; redes neuronales con capa aleatoria,R2 fuera de muestra; otro: Sharpe de estrategias de timing; otro: desempeño como función de la complejidad (número de parámetros) y de la contracción; comparación de familias de modelos,10.1111/jofi.13298,https://doi.org/10.1111/jofi.13298,220,"Predice el retorno mensual del mercado accionario de EE. UU. con unos pocos predictores macro-financieros transformados en miles de 'random features', estimando regresiones ridge en las que el número de parámetros supera al de observaciones. Evalúa con R² fuera de muestra y con la ratio de Sharpe de una estrategia de timing basada en la predicción, trazando ambos como función de la complejidad del modelo y de la penalización. La interpretación es sobre el mecanismo estadístico: por qué los modelos 'demasiado grandes' predicen mejor que los parsimoniosos (doble descenso, contracción implícita).","Obliga a repensar la intuición de sobreajuste: la métrica relevante es el desempeño fuera de muestra, no el número de parámetros.",alta
5,Dubé & Misra,2023,Personalized Pricing and Consumer Welfare,Journal of Political Economy,Top5,IO/demanda,LASSO (verosimilitud penalizada L1); weighted likelihood bootstrap,predicho vs observado; otro: validación fuera de muestra de las predicciones y de las ganancias en un segundo experimento de campo; otro: comparación con post-LASSO-MLE y con la regularización LASSO estándar,10.1086/720793,https://doi.org/10.1086/720793,164,"Con un experimento de precios aleatorizado en ZipRecruiter estiman un modelo de demanda con heterogeneidad en más de cien características del cliente mediante un estimador de verosimilitud penalizada L1 (LASSO) replicado con bootstrap de verosimilitud ponderada, y derivan precios personalizados óptimos. Un segundo experimento con nuevos clientes valida fuera de muestra las predicciones del modelo y las ganancias (55% por optimizar el precio uniforme y 19% adicional por personalizar); analizan el bienestar del consumidor (cae en total, pero más del 60% de los consumidores gana) y la relación no monótona entre la granularidad de los datos y el excedente.","Enseña a validar en el campo, fuera de muestra, un modelo de demanda regularizado y a traducir predicciones en decisiones de precios y bienestar.",alta
5,Alberto Abadie; Maximilian Kasy,2019,Choosing among Regularized Estimators in Empirical Economics: The Risk of Machine Learning,The Review of Economics and Statistics,TopField,guía para economistas,ridge; LASSO; pretest; estimadores de contracción (shrinkage),riesgo de estimadores; selección data-driven del parámetro de regularización,10.1162/rest_a_00812,https://doi.org/10.1162/rest_a_00812,61,"Compara el riesgo (error cuadrático) de estimadores regularizados (ridge, LASSO y pretest) en problemas típicos de economía (efectos de vecindario, sesgos de arbitraje, estimaciones por series) y muestra cómo elegir el estimador y su nivel de regularización con criterios basados en datos (estimación de riesgo tipo Stein y validación). Enseña que la regularización óptima depende de la estructura del problema y no del algoritmo de moda.",Lectura para la sesión de evaluación de estimadores: qué significa 'riesgo' y cómo se compara entre métodos regularizados.,alta
5,"Hauzenberger, Huber & Klieber",2023,Real-time inflation forecasting using non-linear dimension reduction techniques,International Journal of Forecasting,TopField,inflación,autoencoders; kernel PCA; PCA al cuadrado (no lineal); regresiones TVP con priors de shrinkage; PCA lineal (benchmark),"error por horizonte/régimen; comparación de familias de modelos; otro: desempeño acumulado en el tiempo para localizar las ganancias (recesiones, COVID); otro: evaluación de densidad con CRPS además de RMSE",10.1016/j.ijforecast.2022.03.002,https://doi.org/10.1016/j.ijforecast.2022.03.002,41,"Pronostica la inflación mensual de EE.UU. a uno y tres meses con datos en tiempo real, comprimiendo un panel grande en factores latentes mediante técnicas no lineales (autoencoders, kernel PCA, PCA al cuadrado) que alimentan regresiones con parámetros variables y shrinkage. Compara RMSE y CRPS contra la PCA lineal y sigue el desempeño relativo acumulado a lo largo del tiempo, mostrando que las no linealidades pagan sobre todo en recesiones y durante la pandemia.","Muestra que la ventaja de las técnicas no lineales se concentra en recesiones, con evaluación puntual y de densidad.",alta
5,"Babii, Ghysels & Striaukas",2022,Machine Learning Time Series Regressions With an Application to Nowcasting,Journal of Business & Economic Statistics,TopField,nowcasting PIB,sparse-group LASSO MIDAS; LASSO y group LASSO; regresiones de frecuencia mixta,ablación por grupos de variables; error por horizonte/régimen; comparación de familias de modelos; otro: comparación con el nowcast de la Fed de Nueva York,10.1080/07350015.2021.1899933,https://doi.org/10.1080/07350015.2021.1899933,32,"Desarrolla el sparse-group LASSO para regresiones MIDAS de alta dimensión (con teoría para datos dependientes y de colas pesadas) y lo aplica al nowcasting del crecimiento del PIB de EE.UU. con 34 series macrofinancieras del modelo de la Fed de Nueva York más 76 series de atención noticiosa de Bybee et al., respetando el calendario real de publicaciones. Evalúa el RMSE fuera de muestra a distintos horizontes dentro del trimestre frente a LASSO sin estructura y otros benchmarks, y muestra mediante ablación que los datos de texto añaden información a los datos numéricos tradicionales, con nowcasts a la par o mejores que los publicados por la Fed de Nueva York.",Muestra cómo la regularización estructurada por grupos hace interpretable qué bloques de datos —incluido texto— aportan al nowcast.,alta
6,Leo Breiman,2001,Random Forests,Machine Learning,Methods,interpretación,random forest; bagging,variable importance (permutación); importancia por impureza (Gini),10.1023/a:1010933404324,https://doi.org/10.1023/a:1010933404324,131539,"Introduce los bosques aleatorios y, con ellos, la medida de importancia por permutación: cuánto empeora el error out-of-bag cuando se permuta aleatoriamente una variable. Es el punto de partida de la 'importancia de variables' que reportan los economistas al usar random forests para predecir pobreza, precios o riesgo de crédito.",Referencia original del algoritmo y de la importancia por permutación; se cita al introducir las medidas de importancia globales.,alta
